meanFreq_MaxS11,mean_MaxS11,mean_S11DEG,meanFreq_MaxS22,mean_MaxS22,mean_S22DEG,varFreq_MaxS11,var_MaxS11,var_S11DEG,varFreq_MaxS22,var_MaxS22,var_S22DEG,Weight,Class,Tester
4044.0,-20.03594826759834,5.427196316207599,4106.448979591837,-13.763789390096463,8.733254878277334,0.0,0.0002600932856365335,0.23761069749191743,3.7984173261141216,0.00014108307948027064,2.5835465947590586,90.0,0,Lorenzo
4044.0,-20.035912413324652,5.42298563174926,4106.693877551021,-13.759679070816729,8.926560558424518,0.0,0.00025303861578306747,0.2270493288656866,3.518533944189922,0.0001729462467173191,2.4050863416837336,90.0,0,Lorenzo
4044.0,-20.032108173231848,5.512706569796672,4106.530612244898,-13.760638180117589,8.78882157497761,0.0,0.00027296182935660965,0.19876285920048367,3.7184506455643507,0.00018317775611626563,2.521033634396797,90.0,0,Lorenzo
4044.0,-20.031352541105054,5.454010768197562,4106.693877551021,-13.759413613515639,8.916005121708173,0.0,0.0001987957732693934,0.18540239360633265,3.518533944189922,0.00017929673564292205,2.3758509002435115,90.0,0,Lorenzo
4044.0,-20.033138431858177,5.345615952768817,4106.938775510204,-13.755667527522267,9.105690017337878,0.0,0.00018025580043102367,0.11673704325193993,3.1187005414410685,0.00012741370957700574,2.0948193054534956,90.0,0,Lorenzo
4044.0,-20.031177983558223,5.511495269484595,4107.0204081632655,-13.753925736299001,9.180778209913361,0.0,0.00013259953732972914,0.1150976881492562,2.9587671803415243,0.00014568793974794364,1.9691514780556865,90.0,0,Lorenzo
4044.0,-20.03077045548774,5.560211173855129,4107.183673469388,-13.75127049707943,9.306423472360565,0.0,0.0001282707101276534,0.08187247800477249,2.598917117867554,0.00010119357665989108,1.7287134697078024,90.0,0,Lorenzo
4044.0,-20.03213361393613,5.514959140383841,4107.265306122449,-13.746651400004673,9.364111768536283,0.0,0.00012106386276503948,0.06289484315876401,2.3990004164931267,7.218532808563748e-05,1.6015444488289057,90.0,0,Lorenzo
4044.0,-20.030400683664077,5.6405261895985825,4107.34693877551,-13.737754805280089,9.43600346076107,0.0,0.00011635405576112226,0.062292124276826136,2.185755935027071,0.00018823660344920374,1.4537238346127677,90.0,0,Lorenzo
4044.0,-20.027938715171658,5.818495135457188,4107.265306122449,-13.721435787995908,9.359129316873954,0.0,0.00017834430991186913,0.13597633271199022,2.3990004164931253,0.0024825045583172405,1.5761465591031982,90.0,0,Lorenzo
4042.6938775510203,-20.015915361555173,5.6840295651425405,4107.510204081633,-13.86407821517223,9.496337046223983,7.436901291128696,0.0006413104370275141,1.2018072398705886,1.719283631820077,0.09974384681744647,1.112743942887471,90.0,0,Lorenzo
4040.326530612245,-19.990446503479077,4.97779112309116,4107.591836734694,-14.058853651630358,9.439923068165015,23.40358184089963,0.0023403815435619904,4.2376374248485105,1.466055810079133,0.20032739063610877,0.9041937919808556,90.0,0,Lorenzo
4038.612244897959,-19.965217893321537,5.046365871611012,4107.836734693878,-14.200888692380415,9.554917785390222,22.56393169512706,0.002930898571085141,5.153222856124667,0.6264056643065383,0.18831294792866132,0.39570956327511597,90.0,0,Lorenzo
4036.326530612245,-19.938618219497673,4.412554780851659,4107.918367346939,-14.37252916185288,9.527671767087643,18.832153269471096,0.002342926924686548,6.805096745582627,0.31986672219908346,0.13682648937766168,0.2010838063725283,90.0,0,Lorenzo
4033.9591836734694,-19.909637402702685,3.422444170490234,4108.0,-14.546316888443464,9.45725580518738,5.9575177009579345,0.00160097155094757,7.371788859749827,0.0,0.015665817879675675,0.03585545292663338,90.0,0,Lorenzo
4032.8979591836733,-19.89188731225645,2.5256829007784023,4108.0,-14.555121729315907,9.323850054337425,2.785506039150351,0.0004524376883286689,5.503728910682863,0.0,0.009622696996077514,0.04468311621449004,90.0,0,Lorenzo
4032.8979591836733,-19.884873190672643,2.6229181278522775,4108.0,-14.530600721187449,9.235218105487426,2.7855060391503508,0.00047180232251615414,5.100714736609101,0.0,0.004988651635730678,0.07209657624058191,90.0,0,Lorenzo
4032.081632653061,-19.878139183757764,1.4466904953504003,4108.0,-14.561496747618998,9.097643795269393,0.3198667221990834,0.000362932300645144,1.0146286201877646,0.0,0.0011064477123833242,0.056812352483512664,90.0,0,Lorenzo
4032.0,-19.874534406323722,1.2859215769012926,4108.0,-14.563577955938369,8.990594787063795,0.0,0.00024223747990330415,0.19623976393292808,0.0,0.0005179248309024598,0.015728365783726196,90.0,0,Lorenzo
4032.0,-19.876238310506736,1.3155812996557763,4108.0,-14.573657824006917,8.93566789720181,0.0,0.00020461227488461758,0.1899531137362642,0.0,0.0002791885078284925,0.003626986978960732,90.0,0,Lorenzo
4032.0,-19.876100093048112,1.2555262919052956,4108.0,-14.58061778013564,8.90997506164456,0.0,0.0002024930593744091,0.18770872228652213,0.0,0.000257441344430992,0.002950966753270125,90.0,0,Lorenzo
4032.0,-19.87814568740594,1.2496980125919972,4108.0,-14.587920787490711,8.913662166509267,0.0,0.00014888354993528645,0.1924421069732226,0.0,0.00022932404674007287,0.0024946443939979565,90.0,0,Lorenzo
4032.0,-19.878503298174902,1.4450296878080098,4108.0,-14.596332129971076,8.913846579167375,0.0,0.00012911565329986282,0.2020978549639535,0.0,0.00014134848442062494,0.0028858436505107173,90.0,0,Lorenzo
4032.0,-19.876535358684674,1.481194267851177,4108.0,-14.603642078500595,8.876430035035845,0.0,0.0001802135074448051,0.2084971458562997,0.0,0.00016561659386721918,0.004066306238479312,90.0,0,Lorenzo
