meanFreq_MaxS11,mean_MaxS11,mean_S11DEG,meanFreq_MaxS22,mean_MaxS22,mean_S22DEG,varFreq_MaxS11,var_MaxS11,var_S11DEG,varFreq_MaxS22,var_MaxS22,var_S22DEG,Weight,Class,Tester
3944.0,-14.482452020408163,9.087289108163265,4071.1020408163267,-22.931849346938773,41.5941706122449,0.0,0.0010772217616526459,2.7939107221574524,2.785506039150351,0.014400149996063275,16.453312600300084,60.0,0.0,Irene
3944.0,-14.472008122448981,9.371686465306123,4071.591836734694,-22.961938755102043,42.59181946938776,0.0,0.0006554984765564354,2.84754808626789,1.46605581007913,0.008614923645042025,9.440048354998865,60.0,0.0,Irene
3944.0,-14.469515979591838,9.722324136734693,4071.918367346939,-22.978585346938775,43.3385896122449,0.0,0.0006520101741424404,2.7850656479061837,0.3198667221990837,0.006124790605083689,3.412944548009096,60.0,0.0,Irene
3944.0,-14.45913893877551,10.409357969387756,4071.7551020408164,-22.999341673469388,42.885606653061224,0.0,0.0005661382372819658,1.675009944592984,0.919616826322366,0.00434598853034235,8.31621352813341,60.0,0.0,Irene
3944.0,-14.455523551020411,10.737594136734696,4071.673469387755,-22.992206081632656,42.88383934693878,0.0,0.0004729887517576042,0.4200495946047366,1.1995002082465644,0.004026679808605578,10.996301822616063,60.0,0.0,Irene
3944.0,-14.45804793877551,10.723767769387756,4071.591836734694,-22.99721618367347,42.83298393877551,0.0,0.0004851478550778897,0.3469535411973633,1.466055810079134,0.004167913557088726,13.671750838091977,60.0,0.0,Irene
3944.0,-14.45567306122449,10.825566216326532,4071.591836734694,-23.011746367346944,42.85638834693878,0.0,0.0004700398813636041,0.33997787092593373,1.4660558100791332,0.0032376327637426137,13.745386312628677,60.0,0.0,Irene
3944.0,-14.453698612244898,10.950122440816326,4071.591836734694,-23.02032093877551,42.88757520408164,0.0,0.000394814200319036,0.4177279914543941,1.466055810079135,0.0024586408166289166,13.775760050139668,60.0,0.0,Irene
3944.0,-14.452277714285714,11.109641695918368,4071.8367346938776,-23.02284616326531,43.65924299999999,0.0,0.00030375321081633377,0.45402146666151155,0.6264056643065388,0.002303114162340706,6.186604017214613,60.0,0.0,Irene
3944.0,-14.454147285714287,11.086966363265304,4071.7551020408164,-23.016007591836736,43.42737516326531,0.0,0.00038613365032653685,0.43090998208591463,0.9196168263223665,0.001335645845874222,8.926676774141892,60.0,0.0,Irene
3944.0,-14.453789857142858,11.079804567346939,4071.8367346938776,-23.032042693877553,43.58957026530612,0.0,0.0003657175970612267,0.43456294324897365,0.6264056643065389,0.00335461650311036,6.1150003119090925,60.0,0.0,Irene
3944.0,-14.452567285714286,11.099689600000001,4071.591836734694,-23.03321283673469,42.93301826530612,0.0,0.0002863148274285697,0.42346973162597257,1.4660558100791337,0.007077807188218241,12.03509867807905,60.0,0.0,Irene
3944.0,-14.452300918367346,11.077755763265307,4071.591836734694,-23.043625918367347,42.83138406122449,0.0,0.00030078289117700554,0.39212937514038665,1.4660558100791332,0.011168018418523945,11.848088878459034,60.0,0.0,Irene
3944.0,-14.456842775510205,10.819704846938777,4071.4285714285716,-23.042598938775512,42.26263944897959,0.0,0.0003234810689087822,0.4817461444722205,1.9591836734693895,0.012638977779853398,15.438143447084371,60.0,0.0,Irene
3944.0,-14.455585857142855,10.993829226530615,4071.5102040816328,-23.02749455102041,42.34812093877551,0.0,0.00022907382191836013,0.47470742514492487,1.7192836318200773,0.014443655091675984,12.84712483885973,60.0,0.0,Irene
3944.0,-14.459104061224492,10.759485293877551,4071.591836734694,-22.99063524489796,42.61525967346939,0.0,0.0002725794217309418,0.5261784294953236,1.466055810079132,0.01377825561349104,11.309136309427595,60.0,0.0,Irene
3944.0,-14.458874734693879,10.955141804081633,4071.8367346938776,-22.979696081632653,43.14976234693877,0.0,0.00029461319684797704,0.5334672146609678,0.626405664306538,0.009455233097666776,4.894452330947696,60.0,0.0,Irene
3944.0,-14.462179020408161,10.76004356122449,4071.8367346938776,-22.94023804081633,43.31377793877551,0.0,0.00023398125679549995,0.5684307997318405,0.6264056643065379,0.0030010559443656554,5.010142675047161,60.0,0.0,Irene
3944.0,-14.460183081632653,11.032487885714287,4072.0,-22.945195142857145,43.73794167346938,0.0,0.00023898639305455907,0.5237861853235132,0.0,0.00277535601277548,0.1536870618511585,60.0,0.0,Irene
3944.0,-14.458836897959182,10.968050457142857,4071.918367346939,-22.944949938775515,43.63849181632653,0.0,0.000298819270132442,0.6118882449861826,0.3198667221990837,0.0032956467427105143,2.2840710978810885,60.0,0.0,Irene
3944.0,-14.454527612244897,11.27194983877551,4071.8367346938776,-22.96551626530612,43.4583863877551,0.0,0.0002860700521149501,0.5858048040192135,0.6264056643065388,0.0030995947472153215,4.624877347359953,60.0,0.0,Irene
3944.0,-14.452493897959183,11.223500451020408,4071.673469387755,-22.963871020408163,43.163992061224484,0.0,0.00029889229205081114,0.684350733667893,1.199500208246564,0.004643997029571019,9.041413416706138,60.0,0.0,Irene
3943.918367346939,-14.439541918367347,11.601044826530613,4071.5102040816328,-22.957119020408165,42.80916851020409,0.3198667221990837,0.0007354484277892579,0.982131676653628,1.7192836318200762,0.007516380390550614,12.791626578808048,60.0,0.0,Irene
3943.8367346938776,-14.42813381632653,11.592664651020408,4071.183673469388,-22.896730061224492,42.33676887755102,0.6264056643065389,0.0009323031530070831,1.3094367384721886,2.598917117867554,0.015435954044016684,19.171585027291247,60.0,0.0,Irene
